Epoch,Inc_Validation Accuracy,Inc_Validationl Loss,Inc_Train Loss,Inc_Train Accuracy,Inc_Training Time,eb4_Validation Accuracy,eb4_Validation Loss,eb4_Train Loss,eb4_Train Accuracy,eb4_Training Time (sec),d121_Validation Accuracy,d121_Validation Loss,d121_Train Loss,d121_Train Accuracy,d121_Training Time (sec),r50_Validation Accuracy,r50_Validation Loss,r50_Train Loss,r50_Train Accuracy,r50_Training Time (sec),mob_Validation Accuracy,mob_Validation Loss,mob_Train Loss,mob_Train Accuracy,mob_Training Time (sec),,
27,0.899686515,0.368107378,0.40025875,0.87222594,86.14040685,0.253918499,2.164517879,2.268923044,0.22326833,86.5809164,0.921630085,0.270493954,0.35261783,0.887357116,89.36191416,0.41536051,1.869244695,1.993630648,0.339609951,98.77207732,0.916928,0.286066,0.282274,0.911231,104.919502,,
28,0.899686515,0.364993453,0.417082489,0.867854714,86.93637228,0.297805637,2.154745817,2.28030324,0.204102218,88.58887815,0.918495297,0.267158568,0.339449167,0.894754529,89.35559201,0.402821302,1.857140422,1.966424704,0.35070613,97.31096482,0.923198,0.282764,0.285134,0.916611,104.447478,,
29,0.913793087,0.355874509,0.400058568,0.864492238,86.75322628,0.283699065,2.15803504,2.278998137,0.218224615,86.76262283,0.920062721,0.267008752,0.337985307,0.897780776,89.60169339,0.434169292,1.828958869,1.982779145,0.342299938,96.77044773,0.92163,0.278693,0.285767,0.911903,104.820046,,
30,0.894984305,0.369584739,0.403200209,0.868863463,88.45521808,0.275862068,2.160018206,2.277329206,0.208473429,86.68596387,0.924764872,0.262707651,0.330047578,0.896435797,90.03595352,0.426332295,1.816871405,1.973870516,0.345662415,96.86469269,0.92163,0.27933,0.255524,0.917283,103.843629,,
31,0.9106583,0.354536533,0.375037104,0.877942145,87.93472815,0.257053286,2.15826273,2.280449867,0.219233349,86.4611063,0.926332295,0.257103294,0.33950305,0.891728342,89.35911131,0.432601869,1.807315588,1.955714464,0.360457301,95.62168598,0.920063,0.278622,0.260737,0.923672,104.103623,,
32,0.904388726,0.346382797,0.383506596,0.878950894,86.93315268,0.238244519,2.166791201,2.27944541,0.21250841,86.55381775,0.923197508,0.253721625,0.304597586,0.905514479,90.28868556,0.443573654,1.806884527,1.917533159,0.378614664,95.13282657,0.923198,0.265554,0.253948,0.921654,118.661196,,
33,0.909090936,0.345303565,0.375292152,0.875588417,86.68518043,0.235109717,2.151290655,2.267917871,0.227303296,86.20730972,0.921630085,0.240912005,0.300861001,0.909213185,90.84169817,0.440438867,1.791845202,1.962431192,0.353732347,95.45163774,0.932602,0.267496,0.234152,0.928379,105.346326,,
34,0.901253939,0.337524951,0.364138484,0.88298589,87.16351795,0.283699065,2.145307302,2.261738062,0.212844655,86.29100275,0.924764872,0.243011683,0.30447042,0.905178189,91.34001327,0.418495297,1.788121581,1.950906277,0.362474769,94.69202924,0.92163,0.277198,0.242933,0.926362,104.22491,,
35,0.907523513,0.33829841,0.36121729,0.881977141,86.80200267,0.26802507,2.139761209,2.26618576,0.225622058,86.33912086,0.923197508,0.240374461,0.29652667,0.90383321,91.44958377,0.431034476,1.783659101,1.924129128,0.374579698,95.36954689,0.924765,0.266457,0.234496,0.931069,105.123448,,
36,0.904388726,0.347259641,0.364446282,0.881304622,86.63074017,0.291536063,2.153908491,2.262709379,0.214525893,86.09087062,0.924764872,0.241605267,0.283729434,0.91459316,91.18505359,0.434169292,1.785130978,1.911356211,0.379287153,94.40719056,0.924765,0.2688,0.244275,0.917619,104.843442,,
